state,x,y
Abuja,-83.0,-8.0
Abia,-61.0,-208.0
Adamawa,231.0,13.0
Akwa Ibom,-46.0,-248.0
Anambra,-91.0,-175.0
Bauchi,80.0,89.0
Bayelsa,-155.0,-259.0
Benue,7.0,-97.0
Borno,285.0,198.0
Cross Rivers,-1.0,-175.0
Delta,-161.0,-210.0
Ebonyi,-35.0,-163.0
Edo,-170.0,-155.0
Ekiti,-201.0,-75.0
Enugu,-65.0,-142.0
Gombe,166.0,75.0
Imo,-87.0,-204.0
Jigawa,64.0,200.0
Kaduna,-36.0,86.0
Kano,10.0,160.0
Kastina,-58.0,209.0
Kebbi,-264.0,177.0
Kogi,-124.0,-63.0
Kwara,-230.0,-11.0
Lagos,-286.0,-149.0
Nasarawa,-9.0,-23.0
Niger,-259.0,86.0
Ogun,-326.0,-122.0
Ondo,-217.0,-144.0
Osun,-237.0,-91.0
Oyo,-287.0,-34.0
Plateau,85.0,3.0
Rivers,-99.0,-252.0
Sokoto,-202.0,251.0
Taraba,148.0,-40.0
Yobe,193.0,196.0
Zamfara,-133.0,171.0




